Time,TotalSitesBurned,NumberFires,EcoCounts_MN101,EcoCounts_MN102,
5, 9148, 329, 1664, 7484, 
10, 828, 478, 85, 743, 
15, 1767, 792, 175, 1592, 
20, 2637, 874, 220, 2417, 
25, 2679, 870, 252, 2427, 
30, 2614, 854, 273, 2341, 
