Time,ManagementArea,Prescription,HarvestedSites,TotalCohortsCompleteHarvest,TotalCohortsPartialHarvest,TotalBiomassHarvested,CohortsHarvested_abiebals,CohortsHarvested_acernegu,CohortsHarvested_acerrubr,CohortsHarvested_acersacc,CohortsHarvested_acerspic,CohortsHarvested_betualle,CohortsHarvested_betupapy,CohortsHarvested_celtis,CohortsHarvested_fraxamer,CohortsHarvested_fraxnigr,CohortsHarvested_fraxpenn,CohortsHarvested_larilari,CohortsHarvested_ostrvirg,CohortsHarvested_piceglau,CohortsHarvested_picemari,CohortsHarvested_pinubank,CohortsHarvested_pinuresi,CohortsHarvested_pinustro,CohortsHarvested_popubals,CohortsHarvested_popudelt,CohortsHarvested_popugran,CohortsHarvested_poputrem,CohortsHarvested_prunpens,CohortsHarvested_prunsero,CohortsHarvested_prunvirg,CohortsHarvested_queralba,CohortsHarvested_querelli,CohortsHarvested_quermacr,CohortsHarvested_querrubr,CohortsHarvested_salix,CohortsHarvested_thujocci,CohortsHarvested_tiliamer,CohortsHarvested_ulmuamer,CohortsHarvested_ulmurubr,BiomassHarvestedMg_abiebals,BiomassHarvestedMg_acernegu,BiomassHarvestedMg_acerrubr,BiomassHarvestedMg_acersacc,BiomassHarvestedMg_acerspic,BiomassHarvestedMg_betualle,BiomassHarvestedMg_betupapy,BiomassHarvestedMg_celtis,BiomassHarvestedMg_fraxamer,BiomassHarvestedMg_fraxnigr,BiomassHarvestedMg_fraxpenn,BiomassHarvestedMg_larilari,BiomassHarvestedMg_ostrvirg,BiomassHarvestedMg_piceglau,BiomassHarvestedMg_picemari,BiomassHarvestedMg_pinubank,BiomassHarvestedMg_pinuresi,BiomassHarvestedMg_pinustro,BiomassHarvestedMg_popubals,BiomassHarvestedMg_popudelt,BiomassHarvestedMg_popugran,BiomassHarvestedMg_poputrem,BiomassHarvestedMg_prunpens,BiomassHarvestedMg_prunsero,BiomassHarvestedMg_prunvirg,BiomassHarvestedMg_queralba,BiomassHarvestedMg_querelli,BiomassHarvestedMg_quermacr,BiomassHarvestedMg_querrubr,BiomassHarvestedMg_salix,BiomassHarvestedMg_thujocci,BiomassHarvestedMg_tiliamer,BiomassHarvestedMg_ulmuamer,BiomassHarvestedMg_ulmurubr,
20, 1, SalvageLogger3, 2526, 6737, 0, 133054.9, 0, 0, 1141, 1, 0, 2, 728, 0, 273, 0, 0, 0, 0, 9, 0, 1013, 562, 3, 0, 0, 0, 1754, 0, 0, 0, 0, 63, 0, 396, 0, 0, 792, 0, 0, 0, 0, 16883.44, 5.96, 0, 14.47, 15735.96, 0, 6037.64, 0, 0, 0, 0, 50.56, 0, 22510.14, 20128.94, 19.01, 0, 0, 0, 28618.53, 0, 0, 0, 0, 2069.81, 0, 6546.65, 0, 0, 14433.79, 0, 0, 
20, 2, SalvageLogger3, 243, 656, 0, 12260.58, 0, 0, 139, 0, 0, 0, 77, 0, 28, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 217, 0, 0, 0, 0, 3, 0, 52, 0, 0, 78, 0, 0, 0, 0, 1993.72, 0, 0, 0, 1709.98, 0, 584.81, 0, 0, 0, 0, 0, 0, 1253.54, 0, 0, 0, 0, 0, 4472.23, 0, 0, 0, 0, 111.78, 0, 813.81, 0, 0, 1320.71, 0, 0, 
25, 1, SalvageLogger3, 3007, 7597, 0, 153754.29, 3, 0, 1698, 3, 0, 9, 951, 0, 248, 0, 0, 0, 0, 10, 0, 600, 348, 4, 0, 0, 0, 2199, 0, 0, 0, 0, 29, 0, 279, 0, 10, 1206, 0, 0, 29.41, 0, 31898.62, 29.53, 0, 133.71, 16190.83, 0, 6677.23, 0, 0, 0, 0, 225.03, 0, 18665.27, 15204.31, 76.51, 0, 0, 0, 36199.72, 0, 0, 0, 0, 452.17, 0, 5186.32, 0, 181.41, 22604.22, 0, 0, 
25, 2, SalvageLogger3, 207, 346, 0, 3443.43, 0, 0, 48, 0, 0, 0, 60, 0, 6, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 144, 0, 0, 0, 0, 0, 0, 24, 0, 0, 47, 0, 0, 0, 0, 507.84, 0, 0, 0, 631.199999999999, 0, 63.12, 0, 0, 0, 0, 0, 0, 172.55, 0, 0, 0, 0, 0, 1393.92, 0, 0, 0, 0, 0, 0, 219.84, 0, 0, 454.96, 0, 0, 
30, 1, SalvageLogger3, 3054, 6078, 0, 98949.15, 3, 0, 1203, 4, 0, 7, 905, 0, 160, 0, 0, 0, 0, 0, 0, 357, 17, 0, 0, 0, 0, 2199, 0, 0, 0, 0, 22, 0, 197, 0, 13, 991, 0, 0, 9.31, 0, 20594.55, 30.69, 0, 84.8, 12912.04, 0, 4039.04, 0, 0, 0, 0, 0, 0, 10734.99, 654.15, 0, 0, 0, 0, 29357.63, 0, 0, 0, 0, 486.7, 0, 2851.61, 0, 132.8, 17060.84, 0, 0, 
30, 2, SalvageLogger3, 221, 335, 0, 3325.03, 0, 0, 35, 0, 0, 0, 67, 0, 1, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 163, 0, 0, 0, 0, 0, 0, 15, 0, 0, 51, 0, 0, 0, 0, 370.3, 0, 0, 0, 704.839999999999, 0, 10.52, 0, 0, 0, 0, 0, 0, 30.45, 0, 0, 0, 0, 0, 1577.84, 0, 0, 0, 0, 0, 0, 137.4, 0, 0, 493.68, 0, 0, 
