# ppt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,eco101,eco102,eco103,eco104,eco105,eco201,eco202,eco203,eco204,eco205,eco301,eco302,eco303,eco304,eco305,eco401,eco402,eco403,eco404,eco405,eco501,eco502,eco503,eco504,eco505,eco101,eco102,eco103,eco104,eco105,eco201,eco202,eco203,eco204,eco205,eco301,eco302,eco303,eco304,eco305,eco401,eco402,eco403,eco404,eco405,eco501,eco502,eco503,eco504,eco505,eco101,eco102,eco103,eco104,eco105,eco201,eco202,eco203,eco204,eco205,eco301,eco302,eco303,eco304,eco305,eco401,eco402,eco403,eco404,eco405,eco501,eco502,eco503,eco504,eco505
TIMESTEP,MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm)
1979-01-10T00:00:00Z,22.827595,24.009598,20.894173,21.482758,27.46706,22.827595,24.009598,20.894173,21.482758,27.46706,22.827595,24.009598,20.894173,21.482758,27.46706,22.827595,24.009598,20.894173,21.482758,27.46706,22.827595,24.009598,20.894173,21.482758,27.46706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-01-11T00:00:00Z,21.661003,19.533072,9.335269,13.483063,9.211299,21.661003,19.533072,9.335269,13.483063,9.211299,21.661003,19.533072,9.335269,13.483063,9.211299,21.661003,19.533072,9.335269,13.483063,9.211299,21.661003,19.533072,9.335269,13.483063,9.211299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-01-12T00:00:00Z,0.020744486,0.14645761,0.0709189,0.17818403,0.2675936,0.020744486,0.14645761,0.0709189,0.17818403,0.2675936,0.020744486,0.14645761,0.0709189,0.17818403,0.2675936,0.020744486,0.14645761,0.0709189,0.17818403,0.2675936,0.020744486,0.14645761,0.0709189,0.17818403,0.2675936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-01-13T00:00:00Z,1.8272439,5.315686,9.119904,4.119376,3.78114,1.8272439,5.315686,9.119904,4.119376,3.78114,1.8272439,5.315686,9.119904,4.119376,3.78114,1.8272439,5.315686,9.119904,4.119376,3.78114,1.8272439,5.315686,9.119904,4.119376,3.78114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-01-14T00:00:00Z,7.738329,7.9629755,5.4304376,5.9472075,7.145462,7.738329,7.9629755,5.4304376,5.9472075,7.145462,7.738329,7.9629755,5.4304376,5.9472075,7.145462,7.738329,7.9629755,5.4304376,5.9472075,7.145462,7.738329,7.9629755,5.4304376,5.9472075,7.145462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-01-15T00:00:00Z,0.4333616,0.75271106,1.1059693,3.540321,5.4692,0.4333616,0.75271106,1.1059693,3.540321,5.4692,0.4333616,0.75271106,1.1059693,3.540321,5.4692,0.4333616,0.75271106,1.1059693,3.540321,5.4692,0.4333616,0.75271106,1.1059693,3.540321,5.4692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-01-16T00:00:00Z,0.057022024,0.36713567,0.103016086,0.08827473,0.033337485,0.057022024,0.36713567,0.103016086,0.08827473,0.033337485,0.057022024,0.36713567,0.103016086,0.08827473,0.033337485,0.057022024,0.36713567,0.103016086,0.08827473,0.033337485,0.057022024,0.36713567,0.103016086,0.08827473,0.033337485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-01-17T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-01-18T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-01-19T00:00:00Z,6.03E-04,0.030295951,0.17873129,0.4296817,0.9987965,6.03E-04,0.030295951,0.17873129,0.4296817,0.9987965,6.03E-04,0.030295951,0.17873129,0.4296817,0.9987965,6.03E-04,0.030295951,0.17873129,0.4296817,0.9987965,6.03E-04,0.030295951,0.17873129,0.4296817,0.9987965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
