Time,TotalSitesBurned,NumberFires,EcoCounts_MN101,EcoCounts_MN102,
5, 9148, 329, 1664, 7484, 
10, 828, 478, 85, 743, 
15, 1767, 792, 175, 1592, 
20, 2637, 874, 220, 2417, 
25, 2569, 873, 267, 2302, 
30, 2648, 913, 317, 2331, 
