Age	Biomass
17.93103448	4930.192989
22.4137931	6632.969051
26.89655172	7782.331894
31.37931034	8465.870176
35.86206897	8914.643092
40.34482759	9203.227128
44.82758621	9439.182628
49.31034483	9644.483057
53.79310345	9819.771093
58.27586207	10334.88668
62.75862069	10843.10386
67.24137931	11304.36084
71.72413793	11769.84463
76.20689655	12187.25204
80.68965517	12555.20986
85.17241379	12872.50895
89.65517241	13191.43843
94.13793103	13511.85866
98.62068966	13672.58153
103.1034483	13511.85866
107.5862069	13084.95582
112.0689655	12292.12933
116.5517241	11150.15492
121.0344828	9755.472344
125.5172414	9027.284759
130	0
