Time,TotalSitesBurned,NumberFires,EcoCounts_MN101,EcoCounts_MN102,
5, 9148, 329, 1664, 7484, 
10, 807, 523, 64, 743, 
15, 1904, 801, 160, 1744, 
20, 2462, 892, 217, 2245, 
25, 2683, 922, 313, 2370, 
30, 2722, 858, 330, 2392, 
